"iis_user_iis_interpretid","iis_userid","iis_interpretid","created_at","updated_at"
1,5,6,"1991-07-20 07:08:31","1984-04-14 09:20:58"
2,9,4,"1983-10-06 12:24:51","1985-11-28 22:21:43"
3,5,9,"2013-09-06 07:00:21","2011-04-18 08:54:14"
4,18,2,"1984-08-11 00:58:55","1975-03-16 23:47:11"
5,2,8,"1986-12-28 00:41:41","1977-12-14 04:04:56"
6,10,10,"1977-08-06 14:35:59","2014-10-29 19:38:50"
7,19,4,"1982-08-14 00:03:17","2006-06-08 03:41:49"
8,8,6,"1984-08-10 10:46:33","1978-10-21 04:18:50"
9,13,4,"1995-08-14 01:32:14","1982-09-27 17:51:44"
10,7,4,"1988-05-09 16:43:19","1970-10-27 00:53:59"
11,18,10,"1978-09-01 02:06:56","1979-08-16 17:11:27"
12,14,9,"2001-07-19 09:17:04","2008-05-25 01:16:16"
13,14,5,"2004-05-17 12:09:05","2013-08-25 14:42:52"
14,11,3,"1975-05-30 04:06:39","2014-05-08 03:46:41"
15,21,1,"1977-04-30 00:53:18","1997-01-03 13:15:48"
16,18,3,"1992-03-16 17:47:14","1972-11-05 01:16:00"
17,6,9,"2004-04-07 21:03:41","1977-10-08 14:34:14"
18,16,6,"1994-10-10 17:47:16","2014-12-29 06:38:59"
19,13,9,"2004-05-14 09:52:36","1983-09-21 21:53:48"
20,5,9,"2003-10-11 19:48:13","2002-04-18 12:21:22"
21,7,2,"1995-03-10 02:52:20","1988-03-19 04:55:21"
22,15,7,"1975-05-25 16:00:00","2015-09-21 08:27:22"
23,5,9,"1998-11-10 12:17:52","2010-05-09 22:32:07"
24,8,10,"1997-03-17 14:40:17","2011-02-15 15:14:57"
25,14,3,"2013-03-08 20:25:16","1984-10-05 11:58:51"
26,17,1,"2005-04-28 05:59:29","1986-07-20 08:24:28"
27,21,7,"1977-04-09 22:13:51","2015-12-04 06:46:55"
28,15,7,"1983-04-25 05:20:43","1973-11-14 10:54:27"
29,3,2,"1997-02-11 10:34:28","1978-03-09 13:24:07"
30,7,10,"1983-10-30 12:39:32","2006-05-18 12:11:38"
31,5,6,"1996-12-01 11:13:02","2007-07-09 13:28:05"
32,15,5,"1977-01-27 20:39:24","2015-04-07 19:56:16"
33,6,9,"2012-08-13 11:35:45","1998-06-22 19:38:33"
34,3,10,"1982-01-09 07:25:12","1988-12-06 06:52:45"
35,9,5,"1998-09-09 09:35:38","1991-10-19 17:09:53"
36,2,3,"2008-04-29 00:09:13","2012-03-21 06:44:02"
37,13,1,"1982-10-03 21:32:11","2000-05-20 06:02:37"
38,19,6,"2013-10-20 08:34:55","2005-12-18 00:24:15"
39,14,9,"1973-02-19 01:59:28","1993-10-12 18:04:46"
40,5,9,"1999-09-22 20:56:23","1999-06-09 06:15:52"
41,12,4,"2010-07-03 06:50:29","1995-12-04 13:51:04"
42,20,8,"2001-12-10 22:30:46","2010-11-20 17:05:00"
43,6,6,"2016-11-13 02:01:18","2003-10-08 16:17:42"
44,10,2,"2001-02-24 16:25:18","1992-10-20 06:26:59"
45,9,5,"2011-11-12 23:56:07","1984-08-08 19:23:05"
46,10,5,"1977-08-17 07:27:34","1991-12-20 15:37:19"
47,4,4,"1984-11-19 03:14:37","2002-06-07 03:29:57"
48,18,10,"1980-06-07 11:36:47","2006-09-22 04:23:39"
49,1,2,"1976-08-07 21:06:47","1981-05-18 10:17:02"
50,6,7,"1977-10-27 23:09:16","2011-03-09 03:34:03"
51,2,2,"1974-06-23 11:02:18","1995-09-05 15:08:26"
52,5,3,"2005-09-06 19:36:26","1996-06-28 21:22:34"
53,2,9,"1990-02-03 13:33:57","2001-12-13 20:03:27"
54,7,10,"2014-05-30 08:04:16","2005-11-15 02:14:58"
55,8,7,"1971-06-24 17:21:48","1994-06-17 00:26:31"
56,18,3,"1989-08-22 13:52:03","2014-03-19 00:10:11"
57,6,9,"2015-03-09 10:29:53","2009-10-20 04:21:42"
58,14,2,"1973-05-28 07:14:28","1993-02-27 08:03:04"
59,15,7,"2014-04-10 16:30:42","1985-09-15 12:29:19"
60,20,4,"1992-07-27 11:48:53","2015-11-24 02:44:19"
